time,realization,y,x,Q
2023-03-03,0,13.25417058,-88.82083718,85.8
2023-03-03,1,13.25417058,-88.82083718,85.8
2023-03-03,2,13.25417058,-88.82083718,85.8
2023-03-03,3,13.25417058,-88.82083718,85.8
2023-03-03,4,13.25417058,-88.82083718,85.8
2023-03-03,5,13.25417058,-88.82083718,85.8
2023-03-03,6,13.25417058,-88.82083718,85.8
2023-03-03,7,13.25417058,-88.82083718,85.8
2023-03-03,8,13.25417058,-88.82083718,85.8
2023-03-03,9,13.25417058,-88.82083718,85.8
2023-03-03,10,13.25417058,-88.82083718,85.8
2023-03-03,11,13.25417058,-88.82083718,85.8
2023-03-03,12,13.25417058,-88.82083718,85.8
2023-03-03,13,13.25417058,-88.82083718,85.8
2023-03-03,14,13.25417058,-88.82083718,85.8
2023-03-03,15,13.25417058,-88.82083718,85.8
2023-03-03,16,13.25417058,-88.82083718,85.8
2023-03-03,17,13.25417058,-88.82083718,85.8
2023-03-03,18,13.25417058,-88.82083718,85.8
2023-03-03,19,13.25417058,-88.82083718,85.8
2023-03-03,20,13.25417058,-88.82083718,85.8
2023-03-03,21,13.25417058,-88.82083718,85.8
2023-03-03,22,13.25417058,-88.82083718,85.8
2023-03-03,23,13.25417058,-88.82083718,85.8
2023-03-03,24,13.25417058,-88.82083718,85.8
2023-03-03,25,13.25417058,-88.82083718,85.8
2023-03-03,26,13.25417058,-88.82083718,85.8
2023-03-03,27,13.25417058,-88.82083718,85.8
2023-03-03,28,13.25417058,-88.82083718,85.8
2023-03-03,29,13.25417058,-88.82083718,85.8
2023-03-03,30,13.25417058,-88.82083718,85.8
2023-03-03,31,13.25417058,-88.82083718,85.8
2023-03-03,32,13.25417058,-88.82083718,85.8
2023-03-03,33,13.25417058,-88.82083718,85.8
2023-03-03,34,13.25417058,-88.82083718,85.8
2023-03-03,35,13.25417058,-88.82083718,85.8
2023-03-03,36,13.25417058,-88.82083718,85.8
2023-03-03,37,13.25417058,-88.82083718,85.8
2023-03-03,38,13.25417058,-88.82083718,85.8
2023-03-03,39,13.25417058,-88.82083718,85.8
2023-03-03,40,13.25417058,-88.82083718,85.8
2023-03-03,41,13.25417058,-88.82083718,85.8
2023-03-03,42,13.25417058,-88.82083718,85.8
2023-03-03,43,13.25417058,-88.82083718,85.8
2023-03-03,44,13.25417058,-88.82083718,85.8
2023-03-03,45,13.25417058,-88.82083718,85.8
2023-03-03,46,13.25417058,-88.82083718,85.8
2023-03-03,47,13.25417058,-88.82083718,85.8
2023-03-03,48,13.25417058,-88.82083718,85.8
2023-03-03,49,13.25417058,-88.82083718,85.8
2023-03-03,50,13.25417058,-88.82083718,85.8
2023-03-04,0,13.25417058,-88.82083718,84.4
2023-03-04,1,13.25417058,-88.82083718,84.4
2023-03-04,2,13.25417058,-88.82083718,84.4
2023-03-04,3,13.25417058,-88.82083718,84.4
2023-03-04,4,13.25417058,-88.82083718,84.4
2023-03-04,5,13.25417058,-88.82083718,84.4
2023-03-04,6,13.25417058,-88.82083718,84.4
2023-03-04,7,13.25417058,-88.82083718,84.4
2023-03-04,8,13.25417058,-88.82083718,84.4
2023-03-04,9,13.25417058,-88.82083718,84.4
2023-03-04,10,13.25417058,-88.82083718,84.4
2023-03-04,11,13.25417058,-88.82083718,84.4
2023-03-04,12,13.25417058,-88.82083718,84.4
2023-03-04,13,13.25417058,-88.82083718,84.4
2023-03-04,14,13.25417058,-88.82083718,84.4
2023-03-04,15,13.25417058,-88.82083718,84.4
2023-03-04,16,13.25417058,-88.82083718,84.4
2023-03-04,17,13.25417058,-88.82083718,84.4
2023-03-04,18,13.25417058,-88.82083718,84.4
2023-03-04,19,13.25417058,-88.82083718,84.4
2023-03-04,20,13.25417058,-88.82083718,84.4
2023-03-04,21,13.25417058,-88.82083718,84.4
2023-03-04,22,13.25417058,-88.82083718,84.4
2023-03-04,23,13.25417058,-88.82083718,84.4
2023-03-04,24,13.25417058,-88.82083718,84.4
2023-03-04,25,13.25417058,-88.82083718,84.4
2023-03-04,26,13.25417058,-88.82083718,84.4
2023-03-04,27,13.25417058,-88.82083718,84.4
2023-03-04,28,13.25417058,-88.82083718,84.4
2023-03-04,29,13.25417058,-88.82083718,84.4
2023-03-04,30,13.25417058,-88.82083718,84.4
2023-03-04,31,13.25417058,-88.82083718,84.4
2023-03-04,32,13.25417058,-88.82083718,84.4
2023-03-04,33,13.25417058,-88.82083718,84.4
2023-03-04,34,13.25417058,-88.82083718,84.4
2023-03-04,35,13.25417058,-88.82083718,84.4
2023-03-04,36,13.25417058,-88.82083718,84.4
2023-03-04,37,13.25417058,-88.82083718,84.4
2023-03-04,38,13.25417058,-88.82083718,84.4
2023-03-04,39,13.25417058,-88.82083718,84.4
2023-03-04,40,13.25417058,-88.82083718,84.4
2023-03-04,41,13.25417058,-88.82083718,84.4
2023-03-04,42,13.25417058,-88.82083718,84.4
2023-03-04,43,13.25417058,-88.82083718,84.4
2023-03-04,44,13.25417058,-88.82083718,84.4
2023-03-04,45,13.25417058,-88.82083718,84.4
2023-03-04,46,13.25417058,-88.82083718,84.4
2023-03-04,47,13.25417058,-88.82083718,84.4
2023-03-04,48,13.25417058,-88.82083718,84.4
2023-03-04,49,13.25417058,-88.82083718,84.4
2023-03-04,50,13.25417058,-88.82083718,84.4
2023-03-05,0,13.25417058,-88.82083718,83.0
2023-03-05,1,13.25417058,-88.82083718,83.0
2023-03-05,2,13.25417058,-88.82083718,83.0
2023-03-05,3,13.25417058,-88.82083718,83.0
2023-03-05,4,13.25417058,-88.82083718,83.0
2023-03-05,5,13.25417058,-88.82083718,83.0
2023-03-05,6,13.25417058,-88.82083718,83.0
2023-03-05,7,13.25417058,-88.82083718,83.0
2023-03-05,8,13.25417058,-88.82083718,83.0
2023-03-05,9,13.25417058,-88.82083718,83.0
2023-03-05,10,13.25417058,-88.82083718,83.0
2023-03-05,11,13.25417058,-88.82083718,83.0
2023-03-05,12,13.25417058,-88.82083718,83.0
2023-03-05,13,13.25417058,-88.82083718,83.0
2023-03-05,14,13.25417058,-88.82083718,83.0
2023-03-05,15,13.25417058,-88.82083718,83.0
2023-03-05,16,13.25417058,-88.82083718,83.0
2023-03-05,17,13.25417058,-88.82083718,83.0
2023-03-05,18,13.25417058,-88.82083718,83.0
2023-03-05,19,13.25417058,-88.82083718,83.0
2023-03-05,20,13.25417058,-88.82083718,83.0
2023-03-05,21,13.25417058,-88.82083718,83.0
2023-03-05,22,13.25417058,-88.82083718,83.0
2023-03-05,23,13.25417058,-88.82083718,83.0
2023-03-05,24,13.25417058,-88.82083718,83.0
2023-03-05,25,13.25417058,-88.82083718,83.0
2023-03-05,26,13.25417058,-88.82083718,83.0
2023-03-05,27,13.25417058,-88.82083718,83.0
2023-03-05,28,13.25417058,-88.82083718,83.0
2023-03-05,29,13.25417058,-88.82083718,83.0
2023-03-05,30,13.25417058,-88.82083718,83.0
2023-03-05,31,13.25417058,-88.82083718,83.0
2023-03-05,32,13.25417058,-88.82083718,83.0
2023-03-05,33,13.25417058,-88.82083718,83.0
2023-03-05,34,13.25417058,-88.82083718,83.0
2023-03-05,35,13.25417058,-88.82083718,83.0
2023-03-05,36,13.25417058,-88.82083718,83.0
2023-03-05,37,13.25417058,-88.82083718,83.0
2023-03-05,38,13.25417058,-88.82083718,83.0
2023-03-05,39,13.25417058,-88.82083718,83.0
2023-03-05,40,13.25417058,-88.82083718,83.0
2023-03-05,41,13.25417058,-88.82083718,83.0
2023-03-05,42,13.25417058,-88.82083718,83.0
2023-03-05,43,13.25417058,-88.82083718,83.0
2023-03-05,44,13.25417058,-88.82083718,83.0
2023-03-05,45,13.25417058,-88.82083718,83.0
2023-03-05,46,13.25417058,-88.82083718,83.0
2023-03-05,47,13.25417058,-88.82083718,83.0
2023-03-05,48,13.25417058,-88.82083718,83.0
2023-03-05,49,13.25417058,-88.82083718,83.0
2023-03-05,50,13.25417058,-88.82083718,83.0
2023-03-06,0,13.25417058,-88.82083718,81.5
2023-03-06,1,13.25417058,-88.82083718,81.5
2023-03-06,2,13.25417058,-88.82083718,81.5
2023-03-06,3,13.25417058,-88.82083718,81.5
2023-03-06,4,13.25417058,-88.82083718,81.5
2023-03-06,5,13.25417058,-88.82083718,81.5
2023-03-06,6,13.25417058,-88.82083718,81.5
2023-03-06,7,13.25417058,-88.82083718,81.5
2023-03-06,8,13.25417058,-88.82083718,81.5
2023-03-06,9,13.25417058,-88.82083718,81.5
2023-03-06,10,13.25417058,-88.82083718,81.5
2023-03-06,11,13.25417058,-88.82083718,81.5
2023-03-06,12,13.25417058,-88.82083718,81.5
2023-03-06,13,13.25417058,-88.82083718,81.5
2023-03-06,14,13.25417058,-88.82083718,81.5
2023-03-06,15,13.25417058,-88.82083718,81.5
2023-03-06,16,13.25417058,-88.82083718,81.5
2023-03-06,17,13.25417058,-88.82083718,81.5
2023-03-06,18,13.25417058,-88.82083718,81.5
2023-03-06,19,13.25417058,-88.82083718,81.5
2023-03-06,20,13.25417058,-88.82083718,81.5
2023-03-06,21,13.25417058,-88.82083718,81.5
2023-03-06,22,13.25417058,-88.82083718,81.5
2023-03-06,23,13.25417058,-88.82083718,81.5
2023-03-06,24,13.25417058,-88.82083718,81.5
2023-03-06,25,13.25417058,-88.82083718,81.5
2023-03-06,26,13.25417058,-88.82083718,81.5
2023-03-06,27,13.25417058,-88.82083718,81.5
2023-03-06,28,13.25417058,-88.82083718,81.5
2023-03-06,29,13.25417058,-88.82083718,81.5
2023-03-06,30,13.25417058,-88.82083718,81.5
2023-03-06,31,13.25417058,-88.82083718,81.5
2023-03-06,32,13.25417058,-88.82083718,81.5
2023-03-06,33,13.25417058,-88.82083718,81.5
2023-03-06,34,13.25417058,-88.82083718,81.5
2023-03-06,35,13.25417058,-88.82083718,81.5
2023-03-06,36,13.25417058,-88.82083718,81.5
2023-03-06,37,13.25417058,-88.82083718,81.5
2023-03-06,38,13.25417058,-88.82083718,81.5
2023-03-06,39,13.25417058,-88.82083718,81.5
2023-03-06,40,13.25417058,-88.82083718,81.5
2023-03-06,41,13.25417058,-88.82083718,81.5
2023-03-06,42,13.25417058,-88.82083718,81.5
2023-03-06,43,13.25417058,-88.82083718,81.5
2023-03-06,44,13.25417058,-88.82083718,81.5
2023-03-06,45,13.25417058,-88.82083718,81.5
2023-03-06,46,13.25417058,-88.82083718,81.5
2023-03-06,47,13.25417058,-88.82083718,81.5
2023-03-06,48,13.25417058,-88.82083718,81.5
2023-03-06,49,13.25417058,-88.82083718,81.5
2023-03-06,50,13.25417058,-88.82083718,81.5
2023-03-07,0,13.25417058,-88.82083718,80.0
2023-03-07,1,13.25417058,-88.82083718,80.0
2023-03-07,2,13.25417058,-88.82083718,80.0
2023-03-07,3,13.25417058,-88.82083718,80.0
2023-03-07,4,13.25417058,-88.82083718,80.0
2023-03-07,5,13.25417058,-88.82083718,80.0
2023-03-07,6,13.25417058,-88.82083718,80.0
2023-03-07,7,13.25417058,-88.82083718,80.0
2023-03-07,8,13.25417058,-88.82083718,80.0
2023-03-07,9,13.25417058,-88.82083718,80.0
2023-03-07,10,13.25417058,-88.82083718,80.0
2023-03-07,11,13.25417058,-88.82083718,80.0
2023-03-07,12,13.25417058,-88.82083718,80.0
2023-03-07,13,13.25417058,-88.82083718,80.0
2023-03-07,14,13.25417058,-88.82083718,80.0
2023-03-07,15,13.25417058,-88.82083718,80.0
2023-03-07,16,13.25417058,-88.82083718,80.0
2023-03-07,17,13.25417058,-88.82083718,80.0
2023-03-07,18,13.25417058,-88.82083718,80.0
2023-03-07,19,13.25417058,-88.82083718,80.0
2023-03-07,20,13.25417058,-88.82083718,80.0
2023-03-07,21,13.25417058,-88.82083718,80.0
2023-03-07,22,13.25417058,-88.82083718,80.0
2023-03-07,23,13.25417058,-88.82083718,80.0
2023-03-07,24,13.25417058,-88.82083718,80.0
2023-03-07,25,13.25417058,-88.82083718,80.0
2023-03-07,26,13.25417058,-88.82083718,80.0
2023-03-07,27,13.25417058,-88.82083718,80.0
2023-03-07,28,13.25417058,-88.82083718,80.0
2023-03-07,29,13.25417058,-88.82083718,80.0
2023-03-07,30,13.25417058,-88.82083718,80.0
2023-03-07,31,13.25417058,-88.82083718,80.0
