time,realization,y,x,smdi
2023-03-03,0,14.37917013,-89.07083707999999,
2023-03-03,1,14.37917013,-89.07083707999999,
2023-03-03,2,14.37917013,-89.07083707999999,
2023-03-03,3,14.37917013,-89.07083707999999,
2023-03-03,4,14.37917013,-89.07083707999999,
2023-03-03,5,14.37917013,-89.07083707999999,
2023-03-03,6,14.37917013,-89.07083707999999,
2023-03-03,7,14.37917013,-89.07083707999999,
2023-03-03,8,14.37917013,-89.07083707999999,
2023-03-03,9,14.37917013,-89.07083707999999,
2023-03-03,10,14.37917013,-89.07083707999999,
2023-03-03,11,14.37917013,-89.07083707999999,
2023-03-03,12,14.37917013,-89.07083707999999,
2023-03-03,13,14.37917013,-89.07083707999999,
2023-03-03,14,14.37917013,-89.07083707999999,
2023-03-03,15,14.37917013,-89.07083707999999,
2023-03-03,16,14.37917013,-89.07083707999999,
2023-03-03,17,14.37917013,-89.07083707999999,
2023-03-03,18,14.37917013,-89.07083707999999,
2023-03-03,19,14.37917013,-89.07083707999999,
2023-03-03,20,14.37917013,-89.07083707999999,
2023-03-03,21,14.37917013,-89.07083707999999,
2023-03-03,22,14.37917013,-89.07083707999999,
2023-03-03,23,14.37917013,-89.07083707999999,
2023-03-03,24,14.37917013,-89.07083707999999,
2023-03-03,25,14.37917013,-89.07083707999999,
2023-03-03,26,14.37917013,-89.07083707999999,
2023-03-03,27,14.37917013,-89.07083707999999,
2023-03-03,28,14.37917013,-89.07083707999999,
2023-03-03,29,14.37917013,-89.07083707999999,
2023-03-03,30,14.37917013,-89.07083707999999,
2023-03-03,31,14.37917013,-89.07083707999999,
2023-03-03,32,14.37917013,-89.07083707999999,
2023-03-03,33,14.37917013,-89.07083707999999,
2023-03-03,34,14.37917013,-89.07083707999999,
2023-03-03,35,14.37917013,-89.07083707999999,
2023-03-03,36,14.37917013,-89.07083707999999,
2023-03-03,37,14.37917013,-89.07083707999999,
2023-03-03,38,14.37917013,-89.07083707999999,
2023-03-03,39,14.37917013,-89.07083707999999,
2023-03-03,40,14.37917013,-89.07083707999999,
2023-03-03,41,14.37917013,-89.07083707999999,
2023-03-03,42,14.37917013,-89.07083707999999,
2023-03-03,43,14.37917013,-89.07083707999999,
2023-03-03,44,14.37917013,-89.07083707999999,
2023-03-03,45,14.37917013,-89.07083707999999,
2023-03-03,46,14.37917013,-89.07083707999999,
2023-03-03,47,14.37917013,-89.07083707999999,
2023-03-03,48,14.37917013,-89.07083707999999,
2023-03-03,49,14.37917013,-89.07083707999999,
2023-03-03,50,14.37917013,-89.07083707999999,
2023-03-04,0,14.37917013,-89.07083707999999,
2023-03-04,1,14.37917013,-89.07083707999999,
2023-03-04,2,14.37917013,-89.07083707999999,
2023-03-04,3,14.37917013,-89.07083707999999,
2023-03-04,4,14.37917013,-89.07083707999999,
2023-03-04,5,14.37917013,-89.07083707999999,
2023-03-04,6,14.37917013,-89.07083707999999,
2023-03-04,7,14.37917013,-89.07083707999999,
2023-03-04,8,14.37917013,-89.07083707999999,
2023-03-04,9,14.37917013,-89.07083707999999,
2023-03-04,10,14.37917013,-89.07083707999999,
2023-03-04,11,14.37917013,-89.07083707999999,
2023-03-04,12,14.37917013,-89.07083707999999,
2023-03-04,13,14.37917013,-89.07083707999999,
2023-03-04,14,14.37917013,-89.07083707999999,
2023-03-04,15,14.37917013,-89.07083707999999,
2023-03-04,16,14.37917013,-89.07083707999999,
2023-03-04,17,14.37917013,-89.07083707999999,
2023-03-04,18,14.37917013,-89.07083707999999,
2023-03-04,19,14.37917013,-89.07083707999999,
2023-03-04,20,14.37917013,-89.07083707999999,
2023-03-04,21,14.37917013,-89.07083707999999,
2023-03-04,22,14.37917013,-89.07083707999999,
2023-03-04,23,14.37917013,-89.07083707999999,
2023-03-04,24,14.37917013,-89.07083707999999,
2023-03-04,25,14.37917013,-89.07083707999999,
2023-03-04,26,14.37917013,-89.07083707999999,
2023-03-04,27,14.37917013,-89.07083707999999,
2023-03-04,28,14.37917013,-89.07083707999999,
2023-03-04,29,14.37917013,-89.07083707999999,
2023-03-04,30,14.37917013,-89.07083707999999,
2023-03-04,31,14.37917013,-89.07083707999999,
2023-03-04,32,14.37917013,-89.07083707999999,
2023-03-04,33,14.37917013,-89.07083707999999,
2023-03-04,34,14.37917013,-89.07083707999999,
2023-03-04,35,14.37917013,-89.07083707999999,
2023-03-04,36,14.37917013,-89.07083707999999,
2023-03-04,37,14.37917013,-89.07083707999999,
2023-03-04,38,14.37917013,-89.07083707999999,
2023-03-04,39,14.37917013,-89.07083707999999,
2023-03-04,40,14.37917013,-89.07083707999999,
2023-03-04,41,14.37917013,-89.07083707999999,
2023-03-04,42,14.37917013,-89.07083707999999,
2023-03-04,43,14.37917013,-89.07083707999999,
2023-03-04,44,14.37917013,-89.07083707999999,
2023-03-04,45,14.37917013,-89.07083707999999,
2023-03-04,46,14.37917013,-89.07083707999999,
2023-03-04,47,14.37917013,-89.07083707999999,
2023-03-04,48,14.37917013,-89.07083707999999,
2023-03-04,49,14.37917013,-89.07083707999999,
2023-03-04,50,14.37917013,-89.07083707999999,
2023-03-05,0,14.37917013,-89.07083707999999,
2023-03-05,1,14.37917013,-89.07083707999999,
2023-03-05,2,14.37917013,-89.07083707999999,
2023-03-05,3,14.37917013,-89.07083707999999,
2023-03-05,4,14.37917013,-89.07083707999999,
2023-03-05,5,14.37917013,-89.07083707999999,
2023-03-05,6,14.37917013,-89.07083707999999,
2023-03-05,7,14.37917013,-89.07083707999999,
2023-03-05,8,14.37917013,-89.07083707999999,
2023-03-05,9,14.37917013,-89.07083707999999,
2023-03-05,10,14.37917013,-89.07083707999999,
2023-03-05,11,14.37917013,-89.07083707999999,
2023-03-05,12,14.37917013,-89.07083707999999,
2023-03-05,13,14.37917013,-89.07083707999999,
2023-03-05,14,14.37917013,-89.07083707999999,
2023-03-05,15,14.37917013,-89.07083707999999,
2023-03-05,16,14.37917013,-89.07083707999999,
2023-03-05,17,14.37917013,-89.07083707999999,
2023-03-05,18,14.37917013,-89.07083707999999,
2023-03-05,19,14.37917013,-89.07083707999999,
2023-03-05,20,14.37917013,-89.07083707999999,
2023-03-05,21,14.37917013,-89.07083707999999,
2023-03-05,22,14.37917013,-89.07083707999999,
2023-03-05,23,14.37917013,-89.07083707999999,
2023-03-05,24,14.37917013,-89.07083707999999,
2023-03-05,25,14.37917013,-89.07083707999999,
2023-03-05,26,14.37917013,-89.07083707999999,
2023-03-05,27,14.37917013,-89.07083707999999,
2023-03-05,28,14.37917013,-89.07083707999999,
2023-03-05,29,14.37917013,-89.07083707999999,
2023-03-05,30,14.37917013,-89.07083707999999,
2023-03-05,31,14.37917013,-89.07083707999999,
2023-03-05,32,14.37917013,-89.07083707999999,
2023-03-05,33,14.37917013,-89.07083707999999,
2023-03-05,34,14.37917013,-89.07083707999999,
2023-03-05,35,14.37917013,-89.07083707999999,
2023-03-05,36,14.37917013,-89.07083707999999,
2023-03-05,37,14.37917013,-89.07083707999999,
2023-03-05,38,14.37917013,-89.07083707999999,
2023-03-05,39,14.37917013,-89.07083707999999,
2023-03-05,40,14.37917013,-89.07083707999999,
2023-03-05,41,14.37917013,-89.07083707999999,
2023-03-05,42,14.37917013,-89.07083707999999,
2023-03-05,43,14.37917013,-89.07083707999999,
2023-03-05,44,14.37917013,-89.07083707999999,
2023-03-05,45,14.37917013,-89.07083707999999,
2023-03-05,46,14.37917013,-89.07083707999999,
2023-03-05,47,14.37917013,-89.07083707999999,
2023-03-05,48,14.37917013,-89.07083707999999,
2023-03-05,49,14.37917013,-89.07083707999999,
2023-03-05,50,14.37917013,-89.07083707999999,
2023-03-06,0,14.37917013,-89.07083707999999,
2023-03-06,1,14.37917013,-89.07083707999999,
2023-03-06,2,14.37917013,-89.07083707999999,
2023-03-06,3,14.37917013,-89.07083707999999,
2023-03-06,4,14.37917013,-89.07083707999999,
2023-03-06,5,14.37917013,-89.07083707999999,
2023-03-06,6,14.37917013,-89.07083707999999,
2023-03-06,7,14.37917013,-89.07083707999999,
2023-03-06,8,14.37917013,-89.07083707999999,
2023-03-06,9,14.37917013,-89.07083707999999,
2023-03-06,10,14.37917013,-89.07083707999999,
2023-03-06,11,14.37917013,-89.07083707999999,
2023-03-06,12,14.37917013,-89.07083707999999,
2023-03-06,13,14.37917013,-89.07083707999999,
2023-03-06,14,14.37917013,-89.07083707999999,
2023-03-06,15,14.37917013,-89.07083707999999,
2023-03-06,16,14.37917013,-89.07083707999999,
2023-03-06,17,14.37917013,-89.07083707999999,
2023-03-06,18,14.37917013,-89.07083707999999,
2023-03-06,19,14.37917013,-89.07083707999999,
2023-03-06,20,14.37917013,-89.07083707999999,
2023-03-06,21,14.37917013,-89.07083707999999,
2023-03-06,22,14.37917013,-89.07083707999999,
2023-03-06,23,14.37917013,-89.07083707999999,
2023-03-06,24,14.37917013,-89.07083707999999,
2023-03-06,25,14.37917013,-89.07083707999999,
2023-03-06,26,14.37917013,-89.07083707999999,
2023-03-06,27,14.37917013,-89.07083707999999,
2023-03-06,28,14.37917013,-89.07083707999999,
2023-03-06,29,14.37917013,-89.07083707999999,
2023-03-06,30,14.37917013,-89.07083707999999,
2023-03-06,31,14.37917013,-89.07083707999999,
2023-03-06,32,14.37917013,-89.07083707999999,
2023-03-06,33,14.37917013,-89.07083707999999,
2023-03-06,34,14.37917013,-89.07083707999999,
2023-03-06,35,14.37917013,-89.07083707999999,
2023-03-06,36,14.37917013,-89.07083707999999,
2023-03-06,37,14.37917013,-89.07083707999999,
2023-03-06,38,14.37917013,-89.07083707999999,
2023-03-06,39,14.37917013,-89.07083707999999,
2023-03-06,40,14.37917013,-89.07083707999999,
2023-03-06,41,14.37917013,-89.07083707999999,
2023-03-06,42,14.37917013,-89.07083707999999,
2023-03-06,43,14.37917013,-89.07083707999999,
2023-03-06,44,14.37917013,-89.07083707999999,
2023-03-06,45,14.37917013,-89.07083707999999,
2023-03-06,46,14.37917013,-89.07083707999999,
2023-03-06,47,14.37917013,-89.07083707999999,
2023-03-06,48,14.37917013,-89.07083707999999,
2023-03-06,49,14.37917013,-89.07083707999999,
2023-03-06,50,14.37917013,-89.07083707999999,
2023-03-07,0,14.37917013,-89.07083707999999,
2023-03-07,1,14.37917013,-89.07083707999999,
2023-03-07,2,14.37917013,-89.07083707999999,
2023-03-07,3,14.37917013,-89.07083707999999,
2023-03-07,4,14.37917013,-89.07083707999999,
2023-03-07,5,14.37917013,-89.07083707999999,
2023-03-07,6,14.37917013,-89.07083707999999,
2023-03-07,7,14.37917013,-89.07083707999999,
2023-03-07,8,14.37917013,-89.07083707999999,
2023-03-07,9,14.37917013,-89.07083707999999,
2023-03-07,10,14.37917013,-89.07083707999999,
2023-03-07,11,14.37917013,-89.07083707999999,
2023-03-07,12,14.37917013,-89.07083707999999,
2023-03-07,13,14.37917013,-89.07083707999999,
2023-03-07,14,14.37917013,-89.07083707999999,
2023-03-07,15,14.37917013,-89.07083707999999,
2023-03-07,16,14.37917013,-89.07083707999999,
2023-03-07,17,14.37917013,-89.07083707999999,
2023-03-07,18,14.37917013,-89.07083707999999,
2023-03-07,19,14.37917013,-89.07083707999999,
2023-03-07,20,14.37917013,-89.07083707999999,
2023-03-07,21,14.37917013,-89.07083707999999,
2023-03-07,22,14.37917013,-89.07083707999999,
2023-03-07,23,14.37917013,-89.07083707999999,
2023-03-07,24,14.37917013,-89.07083707999999,
2023-03-07,25,14.37917013,-89.07083707999999,
2023-03-07,26,14.37917013,-89.07083707999999,
2023-03-07,27,14.37917013,-89.07083707999999,
2023-03-07,28,14.37917013,-89.07083707999999,
2023-03-07,29,14.37917013,-89.07083707999999,
2023-03-07,30,14.37917013,-89.07083707999999,
2023-03-07,31,14.37917013,-89.07083707999999,
2023-03-07,32,14.37917013,-89.07083707999999,
2023-03-07,33,14.37917013,-89.07083707999999,
2023-03-07,34,14.37917013,-89.07083707999999,
2023-03-07,35,14.37917013,-89.07083707999999,
2023-03-07,36,14.37917013,-89.07083707999999,
2023-03-07,37,14.37917013,-89.07083707999999,
2023-03-07,38,14.37917013,-89.07083707999999,
2023-03-07,39,14.37917013,-89.07083707999999,
2023-03-07,40,14.37917013,-89.07083707999999,
2023-03-07,41,14.37917013,-89.07083707999999,
2023-03-07,42,14.37917013,-89.07083707999999,
2023-03-07,43,14.37917013,-89.07083707999999,
2023-03-07,44,14.37917013,-89.07083707999999,
2023-03-07,45,14.37917013,-89.07083707999999,
2023-03-07,46,14.37917013,-89.07083707999999,
2023-03-07,47,14.37917013,-89.07083707999999,
2023-03-07,48,14.37917013,-89.07083707999999,
2023-03-07,49,14.37917013,-89.07083707999999,
2023-03-07,50,14.37917013,-89.07083707999999,
2023-03-08,0,14.37917013,-89.07083707999999,
2023-03-08,1,14.37917013,-89.07083707999999,
2023-03-08,2,14.37917013,-89.07083707999999,
2023-03-08,3,14.37917013,-89.07083707999999,
2023-03-08,4,14.37917013,-89.07083707999999,
